市区町,CSV局名,システム局名,CSV緯度,CSV経度,SYS緯度,SYS経度,Δ緯度,Δ経度,距離差(m),マッチ方法,判定
庄原市,比和(国),比和(国),34.973056,132.983056,34.9730555555556,132.983055555556,-0.0,-0.0,0.1,完全一致(市+局名),正常
庄原市,比和,比和,34.983333,132.985556,34.9833333333333,132.985555555556,0.0,-0.0,0.1,完全一致(市+局名),正常
庄原市,庄原(国),庄原(国),34.863056,133.012222,34.8630555555556,133.012222222222,-0.0,0.0,0.1,完全一致(市+局名),正常
庄原市,庄原支所,庄原支所,34.859444,133.018611,34.8594444444444,133.018611111111,0.0,0.0,0.1,完全一致(市+局名),正常
庄原市,吾妻山,吾妻山,35.059444,133.028611,35.0594444444444,133.028611111111,0.0,0.0,0.1,完全一致(市+局名),正常
庄原市,総領(国),総領(国),34.783056,133.066667,34.7830555555556,133.066666666667,-0.0,-0.0,0.1,完全一致(市+局名),正常
庄原市,大戸,大戸,34.926944,133.083056,34.9269444444444,133.083055555556,0.0,-0.0,0.1,完全一致(市+局名),正常
庄原市,中領家,中領家,34.794444,133.106667,34.7944444444444,133.106666666667,0.0,-0.0,0.1,完全一致(市+局名),正常
庄原市,本村町,本村町,34.876667,133.120556,34.8766666666667,133.120555555556,-0.0,-0.0,0.1,完全一致(市+局名),正常
庄原市,雨連,雨連,34.868056,133.149167,34.8680555555556,133.149166666667,-0.0,-0.0,0.1,完全一致(市+局名),正常
庄原市,小奴可,小奴可,34.990556,133.211389,34.9905555555556,133.211388888889,-0.0,-0.0,0.1,完全一致(市+局名),正常
庄原市,道後山,道後山,35.064444,133.216667,35.0644444444444,133.216666666667,0.0,-0.0,0.1,完全一致(市+局名),正常
庄原市,所尾,所尾,34.985556,133.257778,34.9855555555556,133.257777777778,-0.0,-0.0,0.1,完全一致(市+局名),正常
庄原市,川東,川東,34.900556,133.279722,34.9005555555556,133.279722222222,-0.0,0.0,0.1,完全一致(市+局名),正常
三原市,甲原,甲原,34.369444,132.976111,34.3694444444444,132.976111111111,0.0,0.0,0.1,完全一致(市+局名),正常
三原市,野間川ダム,野間川ダム,34.529444,133.068333,34.5294444444444,133.068333333333,0.0,0.0,0.1,完全一致(市+局名),正常
世羅町,八田原(国),八田原(国),34.590556,133.145833,34.5905555555556,133.145833333333,-0.0,0.0,0.1,完全一致(市+局名),正常
尾道市,高尾,高尾,34.518056,133.137222,34.5180555555556,133.137222222222,-0.0,0.0,0.1,完全一致(市+局名),正常
尾道市,木ノ庄,木ノ庄,34.476944,133.152222,34.4769444444444,133.152222222222,0.0,0.0,0.1,完全一致(市+局名),正常
尾道市,原田,原田,34.488056,133.200833,34.4880555555556,133.200833333333,-0.0,0.0,0.1,完全一致(市+局名),正常
尾道市,尾道市役所,尾道市役所,34.409148,133.205681,34.40914756,133.20568058,-0.0,-0.0,0.1,完全一致(市+局名),正常
尾道市,因島,因島,34.294444,133.169444,34.2944444444444,133.169444444444,0.0,0.0,0.1,完全一致(市+局名),正常
尾道市,外浦,外浦,34.330833,133.186944,34.3308333333333,133.186944444444,0.0,0.0,0.1,完全一致(市+局名),正常
府中市,羽高,羽高,34.560556,133.166389,34.5605555555556,133.166388888889,-0.0,-0.0,0.1,完全一致(市+局名),正常
福山市,上安井,上安井,34.588056,133.268611,34.5880555555556,133.268611111111,-0.0,0.0,0.1,完全一致(市+局名),正常
福山市,七社,七社,34.528056,133.343611,34.5280555555556,133.343611111111,-0.0,0.0,0.1,完全一致(市+局名),正常
福山市,古市,古市,34.546667,133.388056,34.5466666666667,133.388055555556,-0.0,-0.0,0.1,完全一致(市+局名),正常
神石高原町,高蓋(国),高蓋(国),34.675833,133.209444,34.6758333333333,133.209444444444,0.0,0.0,0.1,完全一致(市+局名),正常
神石高原町,坂瀬川,坂瀬川,34.660556,133.305556,34.6605555555556,133.305555555556,-0.0,-0.0,0.1,完全一致(市+局名),正常
神石高原町,米見山,米見山,34.7762,133.291574,34.7761996,133.2915744,-0.0,0.0,0.1,完全一致(市+局名),正常
大竹市,栗谷,栗谷,34.308611,132.1575,34.3086111111111,132.1575,0.0,0.0,0.0,完全一致(市+局名),正常
大竹市,大竹(気),大竹(気),34.221667,132.22,34.2216666666667,132.22,-0.0,0.0,0.0,完全一致(市+局名),正常
廿日市市,坊主山,坊主山,34.496667,132.066667,34.4966666666667,132.066666666667,-0.0,-0.0,0.0,完全一致(市+局名),正常
廿日市市,頓原,頓原,34.451944,132.0875,34.4519444444445,132.0875,0.0,0.0,0.0,完全一致(市+局名),正常
廿日市市,十方山,十方山,34.540833,132.122222,34.5408333333333,132.122222222222,0.0,0.0,0.0,完全一致(市+局名),正常
廿日市市,吉和,吉和,34.4825,132.134167,34.4825,132.134166666667,0.0,-0.0,0.0,完全一致(市+局名),正常
廿日市市,吉和支所,吉和支所,34.48473,132.143089,34.48473006,132.14308856,0.0,-0.0,0.0,完全一致(市+局名),正常
廿日市市,もみのき,もみのき,34.474722,132.183889,34.4747222222222,132.183888888889,0.0,-0.0,0.0,完全一致(市+局名),正常
廿日市市,小瀬川ダム,小瀬川ダム,34.308889,132.123889,34.3088888888889,132.123888888889,-0.0,-0.0,0.0,完全一致(市+局名),正常
廿日市市,栗栖,栗栖,34.375,132.139167,34.375,132.139166666667,0.0,-0.0,0.0,完全一致(市+局名),正常
廿日市市,佐伯,佐伯,34.3675,132.177778,34.3675,132.177777777778,0.0,-0.0,0.0,完全一致(市+局名),正常
廿日市市,廿日市津田(気),廿日市津田(気),34.365,132.19,34.365,132.19,0.0,0.0,0.0,完全一致(市+局名),正常
廿日市市,津田(国),津田(国),34.371111,132.190833,34.3711111111111,132.190833333333,0.0,0.0,0.0,完全一致(市+局名),正常
