ID,City,Name,Web_Lat,Web_Lon,Sys_Name,Sys_Dist,CSV_Name,CSV_Dist,Status
10121,広島市安佐北区,沢田,34.5575,132.4044444,沢田(国),0.0,沢田(国),0.0,OK
10122,広島市安佐南区,吉山,34.4547222,132.3316667,吉山(国),0.0,吉山(国),0.0,OK
10123,廿日市市,矢草,34.3344444,132.2666667,矢草(国),0.0,矢草(国),0.0,OK
10124,東広島市,福富ダム,34.5302778,132.7772222,福富ダム,0.0,福富ダム,0.0,OK
10125,廿日市市,楢原,34.3911111,132.25,楢原(国),0.0,楢原(国),0.0,OK
10126,三次市,灰塚ダム,34.7858333,132.9866667,灰塚ダム(国),0.0,灰塚ダム(国),0.0,OK
10127,三次市,上安田,34.7466667,133.0336111,上安田(国),0.0,上安田(国),0.0,OK
10128,三次市,西野,34.7086111,133.0733333,西野(国),0.0,西野(国),0.0,OK
10129,庄原市,上領家,34.8025,133.1205556,上領家(国),0.0,上領家(国),0.0,OK
10130,庄原市,黒目,34.7386111,133.1161111,黒目(国),0.0,黒目(国),0.0,OK
10131,庄原市,東城,34.915294,133.278349,東城(国),2261.8,東城(国),2261.8,DIFF
10132,神石高原町,時安,34.6972222,133.3405556,時安,1853.6,時安,1853.6,DIFF
10133,安芸太田町,温井ダム,34.635,132.3033333,温井ダム(国),0.0,温井ダム(国),0.0,OK
10134,北広島町,雄鹿原,34.7175,132.2425,雄鹿原(国),0.0,雄鹿原(国),0.0,OK
10135,北広島町,王泊,34.7044444,132.3163889,王泊(気),805.1,王泊(気),805.1,DIFF
10136,北広島町,大暮,34.7516667,132.3308333,大暮(国),0.0,大暮(国),0.0,OK
10137,北広島町,上奥原,34.7636111,132.2702778,上奥原(国),0.0,上奥原(国),0.0,OK
10138,世羅町,八田原,34.5905556,133.1458333,八田原(国),0.0,八田原(国),0.0,OK
10139,世羅町,賀茂,34.5741667,132.9888889,賀茂,0.0,賀茂,0.0,OK
10140,世羅町,宇津戸,34.5591667,133.1136111,宇津戸(国),0.0,宇津戸(国),0.0,OK
10141,府中市,古城,34.65,133.1455556,古城(国),0.0,古城(国),0.0,OK
10142,神石高原町,高蓋,34.6758333,133.2094444,高蓋(国),2894.5,高蓋(国),2894.5,DIFF
10143,大竹市,弥栄ダム,34.2355556,132.1652778,弥栄ダム(国),0.0,弥栄ダム(国),0.0,OK
10144,廿日市市,中道,34.3680556,132.0858333,中道(国),0.0,中道(国),0.0,OK
10145,廿日市市,津田,34.3711111,132.1908333,津田(国),0.0,津田(国),0.0,OK
10146,竹原市,仁賀ダム,34.3769444,132.8427778,仁賀ダム,0.0,仁賀ダム,0.0,OK
10147,三原市,野間川ダム,34.5294444,133.0683333,野間川ダム,0.0,野間川ダム,0.0,OK
